Dataset,Classifier,Method,Metric,N_Folds,Mean,Std
colon,OPF,Lasso (K=58),F1,1,0.75,0.0
colon,OPF,Lasso (K=58),AUC,1,1.0,0.0
colon,OPF,Lasso (K=36),ACCURACY,1,0.7692307692307693,0.0
colon,OPF,Lasso (K=36),PRECISION,1,0.75,0.0
colon,OPF,Lasso (K=36),RECALL,1,0.6,0.0
colon,OPF,Lasso (K=36),F1,1,0.6666666666666666,0.0
colon,OPF,Lasso (K=36),AUC,1,0.9,0.0
colon,OPF,Lasso (K=719),ACCURACY,1,0.75,0.0
colon,OPF,Lasso (K=719),PRECISION,1,0.6,0.0
colon,OPF,Lasso (K=719),RECALL,1,0.75,0.0
colon,OPF,Lasso (K=719),F1,1,0.6666666666666666,0.0
colon,OPF,Lasso (K=719),AUC,1,0.84375,0.0
colon,OPF,Lasso (K=57),ACCURACY,1,0.9166666666666666,0.0
colon,OPF,Lasso (K=57),PRECISION,1,1.0,0.0
colon,OPF,Lasso (K=57),RECALL,1,0.75,0.0
colon,OPF,Lasso (K=57),F1,1,0.8571428571428571,0.0
colon,OPF,Lasso (K=57),AUC,1,0.875,0.0
colon,OPF,Lasso (K=618),ACCURACY,1,0.8333333333333334,0.0
colon,OPF,Lasso (K=618),PRECISION,1,0.6666666666666666,0.0
colon,OPF,Lasso (K=618),RECALL,1,1.0,0.0
colon,OPF,Lasso (K=618),F1,1,0.8,0.0
colon,OPF,Lasso (K=618),AUC,1,1.0,0.0
colon,OPF,None,ACCURACY,5,0.7410256410256411,0.07275005620056982
colon,OPF,None,PRECISION,5,0.75,0.25
colon,OPF,None,RECALL,5,0.61,0.260768096208106
colon,OPF,None,F1,5,0.6119047619047618,0.09729912734144072
colon,OPF,None,AUC,5,0.83375,0.1287408977365002
colon,OPF,QUBO-SA (K=10),ACCURACY,5,0.6256410256410256,0.1687249628344831
colon,OPF,QUBO-SA (K=10),PRECISION,5,0.5700000000000001,0.27294688127912364
colon,OPF,QUBO-SA (K=10),RECALL,5,0.45,0.1322875655532295
colon,OPF,QUBO-SA (K=10),F1,5,0.46761904761904766,0.1278817480979934
colon,OPF,QUBO-SA (K=10),AUC,5,0.6,0.26512821190888003
colon,OPF,QUBO-SA (K=20),ACCURACY,5,0.7256410256410256,0.15083865922795034
colon,OPF,QUBO-SA (K=20),PRECISION,5,0.6533333333333333,0.27167177909299955
colon,OPF,QUBO-SA (K=20),RECALL,5,0.55,0.22079402165819617
colon,OPF,QUBO-SA (K=20),F1,5,0.588095238095238,0.22737783592977756
colon,OPF,QUBO-SA (K=20),AUC,5,0.66625,0.24687895566451185
colon,OPF,QUBO-SA (K=50),ACCURACY,5,0.6602564102564102,0.04487179487179485
colon,OPF,QUBO-SA (K=50),PRECISION,5,0.5333333333333333,0.10274023338281627
colon,OPF,QUBO-SA (K=50),RECALL,5,0.6,0.1541103500742244
colon,OPF,QUBO-SA (K=50),F1,5,0.548888888888889,0.07269078770576055
colon,OPF,QUBO-SA (K=50),AUC,5,0.6825,0.08366600265340758
colon,OPF,QUBO-SA (K=100),ACCURACY,5,0.5782051282051281,0.11665962221617768
colon,OPF,QUBO-SA (K=100),PRECISION,5,0.43499999999999994,0.15370426148939398
colon,OPF,QUBO-SA (K=100),RECALL,5,0.5,0.1903943276465977
colon,OPF,QUBO-SA (K=100),F1,5,0.4533333333333333,0.14085278191373965
colon,OPF,QUBO-SA (K=100),AUC,5,0.6012500000000001,0.13509256086106297
