method_label,classifier,accuracy_mean,accuracy_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,auc_mean,auc_std,reduction_rate_mean,reduction_rate_std,runtime_selection_mean,runtime_selection_std,runtime_training_mean,runtime_training_std
None,catboost,0.8705128205128204,0.045417922010047025,0.7988888888888889,0.09496588081262931,0.8699999999999999,0.12041594578792295,0.77,0.17888543819998318,0.9125,0.0727527920426426,0.0,0.0,0.0001578378003614489,0.00022008436911285825,33.32757362439952,6.245338990302724
None,knn,0.7448717948717949,0.1254839415717144,0.5436507936507937,0.2445230238572047,0.75,0.25,0.47000000000000003,0.2659887215654077,0.8300000000000001,0.0568372127219483,0.0,0.0,0.0001578378003614489,0.00022008436911285825,0.2746905170002719,0.40476458013476413
None,opf,0.7410256410256411,0.07275005620056982,0.6119047619047618,0.09729912734144072,0.75,0.25,0.61,0.260768096208106,0.83375,0.1287408977365002,0.0,0.0,0.0001578378003614489,0.00022008436911285825,0.1204064039993682,0.08225669504997235
None,rf,0.8243589743589744,0.06074542431016474,0.7277777777777777,0.09702360664762766,0.8099999999999999,0.108397416943394,0.6900000000000001,0.19493588689617924,0.8925000000000001,0.05199158585771353,0.0,0.0,0.0001578378003614489,0.00022008436911285825,12.825984756799153,26.684844576668667
None,svm,0.8705128205128204,0.045417922010047025,0.8195959595959597,0.07563407441713986,0.7866666666666667,0.03613247231446465,0.86,0.12942179105544785,0.8949999999999999,0.03518922065064813,0.0,0.0,0.0001578378003614489,0.00022008436911285825,0.2013103448007314,0.2214921355966647
None,xgboost,0.7576923076923077,0.010533126105868635,0.6133333333333333,0.11925695879998875,0.74,0.16355427233796127,0.5900000000000001,0.20432816741702547,0.8474999999999999,0.09464159365733443,0.0,0.0,0.0001578378003614489,0.00022008436911285825,2.9387971412004843,0.5686484806151569
QUBO-SA (K=10),catboost,0.7884615384615385,0.12908352926668118,0.690952380952381,0.1800062287212108,0.7333333333333334,0.22110831935702666,0.6799999999999999,0.21679483388678802,0.8400000000000001,0.1832113704167948,0.9949999999999999,0.0,9.347480723200714,2.7377222795073073,0.2422772943995369,0.06349745413879998
QUBO-SA (K=10),knn,0.7282051282051282,0.09988487785016646,0.5171428571428571,0.21794754824693047,0.6666666666666666,0.2041241452319315,0.47000000000000003,0.31937438845342625,0.820625,0.06349212549600146,0.9949999999999999,0.0,9.347480723200714,2.7377222795073073,0.0389113092001935,0.008783755512232193
QUBO-SA (K=10),opf,0.6256410256410256,0.16872496283448313,0.46761904761904755,0.12788174809799338,0.5700000000000001,0.2729468812791236,0.45,0.1322875655532295,0.6,0.26512821190888003,0.9949999999999999,0.0,9.347480723200714,2.7377222795073073,0.05050669759948505,0.04471323800512329
QUBO-SA (K=10),rf,0.7871794871794873,0.17504812900676928,0.6838816738816739,0.2770963869625316,0.67,0.24335616331258642,0.71,0.3286335345030997,0.8462500000000001,0.19919760917239943,0.9949999999999999,0.0,9.347480723200714,2.7377222795073073,0.9262526195998362,0.12900174107744874
QUBO-SA (K=10),svm,0.7756410256410257,0.10256410256410256,0.5811111111111111,0.34227813396075174,0.58,0.3327912258458747,0.5900000000000001,0.3681032463861192,0.7175,0.25607463511640505,0.9949999999999999,0.0,9.347480723200714,2.7377222795073073,0.048250342599931176,0.009205202156988461
